task,percent_correct,avg_rt,combined,when,date_downloaded
2-back,86.67,625.64 ms,721.89,16 hours ago,"12:15 PM, Sunday"
2-back,93.33,629.59 ms,674.56,16 hours ago,"12:15 PM, Sunday"
2-back,93.75,932.92 ms,995.11,16 hours ago,"12:15 PM, Sunday"
2-back,60,"1,016.10 ms","1,693.50",16 hours ago,"12:15 PM, Sunday"
2-back,66.67,"1,092.92 ms","1,639.38",16 hours ago,"12:15 PM, Sunday"
2-back,86.67,841.01 ms,970.4,17 hours ago,"12:15 PM, Sunday"
2-back,33.33,958.81 ms,"2,876.43",17 hours ago,"12:15 PM, Sunday"
2-back,60,986.63 ms,"1,644.38",17 hours ago,"12:15 PM, Sunday"
2-back,62.5,"1,023.82 ms","1,638.11",18 hours ago,"12:15 PM, Sunday"
2-back,56.25,422.45 ms,751.03,18 hours ago,"12:15 PM, Sunday"
2-back,100,830.65 ms,830.65,18 hours ago,"12:15 PM, Sunday"
2-back,73.33,"1,039.72 ms","1,417.80",18 hours ago,"12:15 PM, Sunday"
2-back,86.67,672.81 ms,776.32,18 hours ago,"12:15 PM, Sunday"
2-back,100,806.95 ms,806.95,21 hours ago,"12:15 PM, Sunday"
2-back,86.67,760.30 ms,877.27,1 day ago,"12:15 PM, Sunday"
2-back,100,666.11 ms,666.11,2 days ago,"12:15 PM, Sunday"
2-back,93.33,690.57 ms,739.89,2 days ago,"12:15 PM, Sunday"
2-back,100,655.76 ms,655.76,2 days ago,"12:15 PM, Sunday"
2-back,64.29,802.29 ms,"1,248.01",2 days ago,"12:15 PM, Sunday"
2-back,62.5,"3,079.69 ms","4,927.51",2 days ago,"12:15 PM, Sunday"
2-back,66.67,588.95 ms,883.43,2 days ago,"12:15 PM, Sunday"
2-back,86.67,956.20 ms,"1,103.30",2 days ago,"12:15 PM, Sunday"
2-back,93.33,558.53 ms,598.42,2 days ago,"12:15 PM, Sunday"
2-back,81.25,718.96 ms,884.87,2 days ago,"12:15 PM, Sunday"
2-back,46.67,883.66 ms,"1,893.56",2 days ago,"12:15 PM, Sunday"
2-back,100,544.52 ms,544.52,6 hours ago,"9:36 AM, Monday"
2-back,13.33,640.40 ms,"4,802.98",7 hours ago,"9:36 AM, Monday"
2-back,93.33,687.59 ms,736.7,7 hours ago,"9:36 AM, Monday"
2-back,92.31,750.29 ms,812.82,9 hours ago,"9:36 AM, Monday"
2-back,80,995.98 ms,"1,244.97",9 hours ago,"9:36 AM, Monday"
2-back,57.14,808.70 ms,"1,415.23",9 hours ago,"9:36 AM, Monday"
2-back,93.33,599.66 ms,642.5,11 hours ago,"9:36 AM, Monday"
2-back,93.33,569.63 ms,610.32,13 hours ago,"9:36 AM, Monday"
2-back,86.67,848.12 ms,978.59,13 hours ago,"9:36 AM, Monday"
2-back,80,577.33 ms,721.67,14 hours ago,"9:36 AM, Monday"
2-back,85.71,851.37 ms,993.26,14 hours ago,"9:36 AM, Monday"
2-back,86.67,839.64 ms,968.82,14 hours ago,"9:36 AM, Monday"
2-back,53.85,983.55 ms,"1,826.60",14 hours ago,"9:36 AM, Monday"
2-back,93.33,885.36 ms,948.61,14 hours ago,"9:36 AM, Monday"
2-back,55.56,"1,134.96 ms","2,042.93",15 hours ago,"9:36 AM, Monday"
2-back,74.29,"1,130.31 ms","1,521.58",15 hours ago,"9:36 AM, Monday"
2-back,64.29,905.00 ms,"1,407.78",15 hours ago,"9:36 AM, Monday"
2-back,93.33,837.47 ms,897.29,15 hours ago,"9:36 AM, Monday"
2-back,53.33,936.27 ms,"1,755.50",15 hours ago,"9:36 AM, Monday"
2-back,80,888.60 ms,"1,110.75",15 hours ago,"9:36 AM, Monday"
2-back,73.33,945.80 ms,"1,289.73",15 hours ago,"9:36 AM, Monday"
2-back,100,518.84 ms,518.84,17 hours ago,"9:36 AM, Monday"
2-back,80,799.23 ms,999.04,17 hours ago,"9:36 AM, Monday"
2-back,70.59,810.67 ms,"1,148.45",19 hours ago,"9:36 AM, Monday"
